user_id,card_id,card_name,card_type,approved_at,merchant_name,merchant_category,amount,installment_months,approval_no
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-01 09:56:00,티머니 대중교통,대중교통,1600,0,00100202
u_001,card_01,신한카드 Deep Dream,신용,2025-09-01 11:16:00,티머니 대중교통,대중교통,1500,0,00100191
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-01 12:47:00,티머니 대중교통,대중교통,1400,0,00100217
u_001,card_01,신한카드 Deep Dream,신용,2025-09-01 14:35:00,CGV 강남,문화/여가,24500,0,00100449
u_001,card_01,신한카드 Deep Dream,신용,2025-09-01 19:38:00,티머니 대중교통,대중교통,1400,0,00100307
u_001,card_02,삼성 taptap O,신용,2025-09-01 20:53:00,교촌치킨,외식,32100,0,00100371
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-02 20:04:00,GS25 테헤란로점,편의점,5200,0,00100130
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-03 10:24:00,컴포즈커피 논현점,카페/커피,3400,0,00100053
u_001,card_01,신한카드 Deep Dream,신용,2025-09-03 11:01:00,쿠팡이츠,배달음식,19700,0,00100318
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-03 12:07:00,티머니 대중교통,대중교통,1600,0,00100180
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-03 23:54:00,메가커피 역삼점,카페/커피,2400,0,00100042
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-04 20:06:00,티머니 대중교통,대중교통,1300,0,00100146
u_001,card_01,신한카드 Deep Dream,신용,2025-09-04 20:38:00,이디야커피 삼성점,카페/커피,2800,0,00100033
u_001,card_01,신한카드 Deep Dream,신용,2025-09-05 12:14:00,넷플릭스,구독/OTT,13500,0,00100008
u_001,card_01,신한카드 Deep Dream,신용,2025-09-05 17:16:00,CU 강남역점,편의점,5800,0,00100071
u_001,card_02,삼성 taptap O,신용,2025-09-05 22:55:00,티머니 대중교통,대중교통,1300,0,00100228
u_001,card_03,카카오뱅크 체크카드,체크,2025-09-06 12:50:00,티머니 대중교통,대중교통,1400,0,00100159
