user_id,card_id,card_name,year_month,prev_month_spending,billed_amount,points_balance
u_001,card_01,신한카드 Deep Dream,2025-09,1017611,1163890,8147
u_001,card_01,신한카드 Deep Dream,2025-10,1163890,1467890,18422
u_001,card_01,신한카드 Deep Dream,2025-11,1467890,1473790,28738
u_001,card_01,신한카드 Deep Dream,2025-12,1473790,1011690,35819
u_001,card_01,신한카드 Deep Dream,2026-01,1011690,959290,42534
u_001,card_01,신한카드 Deep Dream,2026-02,959290,838890,48406
u_001,card_01,신한카드 Deep Dream,2026-03,838890,1183690,56691
u_001,card_01,신한카드 Deep Dream,2026-04,1183690,982090,63565
u_001,card_01,신한카드 Deep Dream,2026-05,982090,751490,68825
u_001,card_01,신한카드 Deep Dream,2026-06,751490,603390,73048
u_001,card_01,신한카드 Deep Dream,2026-07,603390,915390,79455
u_001,card_01,신한카드 Deep Dream,2026-08,915390,931190,85973
u_001,card_02,삼성 taptap O,2025-09,446378,406090,2842
u_001,card_02,삼성 taptap O,2025-10,406090,922290,9298
u_001,card_02,삼성 taptap O,2025-11,922290,370490,11891
u_001,card_02,삼성 taptap O,2025-12,370490,628290,16289
u_001,card_02,삼성 taptap O,2026-01,628290,252990,18059
u_001,card_02,삼성 taptap O,2026-02,252990,805390,23696
u_001,card_02,삼성 taptap O,2026-03,805390,232390,25322
u_001,card_02,삼성 taptap O,2026-04,232390,610590,29596
u_001,card_02,삼성 taptap O,2026-05,610590,304090,31724
u_001,card_02,삼성 taptap O,2026-06,304090,679490,36480
u_001,card_02,삼성 taptap O,2026-07,679490,435190,39526
u_001,card_02,삼성 taptap O,2026-08,435190,522390,43182
u_001,card_03,카카오뱅크 체크카드,2025-09,456553,435700,871
u_001,card_03,카카오뱅크 체크카드,2025-10,435700,284700,1440
u_001,card_03,카카오뱅크 체크카드,2025-11,284700,295400,2030
u_001,card_03,카카오뱅크 체크카드,2025-12,295400,256100,2542
u_001,card_03,카카오뱅크 체크카드,2026-01,256100,504400,3550
u_001,card_03,카카오뱅크 체크카드,2026-02,504400,400600,4351
u_001,card_03,카카오뱅크 체크카드,2026-03,400600,295400,4941
u_001,card_03,카카오뱅크 체크카드,2026-04,295400,349900,5640
u_001,card_03,카카오뱅크 체크카드,2026-05,349900,403900,6447
u_001,card_03,카카오뱅크 체크카드,2026-06,403900,245600,6938
u_001,card_03,카카오뱅크 체크카드,2026-07,245600,425300,7788
u_001,card_03,카카오뱅크 체크카드,2026-08,425300,360200,8508
